epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.00994454137980938,0.013124295510351658,0.48829559252600313,0.0,0.40223342473580226,0.0
2,0.006616202648729086,0.012058623135089874,0.5295163417845669,0.0,0.5153584847777648,0.0
3,0.006573887076228857,0.010878057219088078,0.5466713383653939,0.0,0.44997030815152067,0.0
4,0.01288343220949173,0.0013831071555614471,0.5604287271749636,0.0,0.46271891939317766,0.0
5,0.008349163457751274,0.0039922744035720825,0.5798302975471599,0.0,0.5214100748853185,0.0
6,0.01829039491713047,0.003468063659965992,0.5889038290395289,0.0,0.42932392065901837,0.0
7,0.008085770532488823,0.008010939694941044,0.5985449772173435,0.0,0.5415117842786952,0.0
8,0.013115309178829193,0.016312137246131897,0.6096349465856862,0.0,0.40696841904663883,0.0
9,0.00957547128200531,0.11261001229286194,0.6241245744172695,0.0,0.503648318488431,0.0
10,0.011784486472606659,0.00889734085649252,0.6281133277091369,0.0,0.5225756317759737,0.0
11,0.009516928344964981,0.04829547554254532,0.6399759736012977,0.0,0.5003590176285742,0.0
12,0.008074959740042686,0.014491267502307892,0.6504223352528011,0.0,0.491435699079703,0.0
13,0.010871633887290955,0.005440413020551205,0.6755877340065679,0.0,0.4405241699281949,0.0
14,0.007012168876826763,0.001007548300549388,0.6903647748992384,0.0,0.4875171868562991,0.0
15,0.0053080003708601,0.012141726911067963,0.7037347821544694,0.0,0.499504946659402,0.0
16,0.00263959146104753,0.004263346083462238,0.710832465442242,0.0,0.5079337371893169,0.0
17,0.005050544161349535,0.017179910093545914,0.7243746098077636,0.0,0.4775092398175623,0.0
18,0.0035616278182715178,0.0022777519188821316,0.7315053092167417,0.0,0.48109321914414116,0.0
19,0.0030139135196805,0.0060831778682768345,0.7435014734114532,0.0,0.49451976111884627,0.0
20,0.004236745648086071,0.024964582175016403,0.74732215848347,0.0,0.4801308294351309,0.0
21,0.004497483838349581,0.008078817278146744,0.7485340870769246,0.0,0.5160731361195254,0.0
22,0.004019665066152811,0.06185583770275116,0.756027920829905,0.0,0.468538882162503,0.0
23,0.0032479187939316034,0.003803658066317439,0.7614761134542016,0.0,0.48230427693537514,0.0
24,0.002004516078159213,0.005627977661788464,0.7741302795500524,0.0,0.48917854128518246,0.0
25,0.002624897751957178,0.012060579843819141,0.7779457475913796,0.0,0.4889006574479712,0.0
26,0.0023641777224838734,0.012169728055596352,0.7820338097280576,0.0,0.46503704691440173,0.0
